comment,overall_satisfaction,recommend,product_quality,repurchase_intent,support_rating
"Never in his wildest fantasy Robert Clive could have visualized almost 2 centuries back, when he took control of Bengal, that one day a descendant of the brown natives will rule Britannia.
Time - the great equalizer.
Incredible!!!

#RishiSunak 
#RishiSunakPM 
#Diwali2022",5,yes,5,5,5
@uk_prepping @trussliz @RishiSunak Voting no longer seems to matter in any area of the public domain. So presumably come 2024 Starmer thinks he will just turn up at No.10 to collect the keys from Rishi - or whoever happens to PM at that time🤔,2,no,2,2,2
"@narendramodi @RishiSunak Congratulations,,, New pm 🌹🌹🌹",4,yes,4,4,4
"Indians ka Bhokal hai, most of the top positions in the world are either governed by an Indian or greatly influenced by them, Rishi Sunak is a latest example, proud to be an Indian.",5,yes,5,5,5
@trussliz @RishiSunak I’m sure that’s a huge relief to him…..,5,yes,5,5,5
"Now we want either kohinoor or vijay malya back!!
@RishiSunak 
#uk #RishiSunakPM",4,yes,4,4,4
"@Parity4All @ExcludedFighter @RishiSunak Hate is a word I don’t use lightly , and I can’t be like Elsa in Frozen and let it go ! @RishiSunak",2,no,2,2,2
"The British ruled the Indian subcontinent for around 200 years till 1947. Now, a man of Indian origin set to rule the British. #rishi_sunak #UKPM",3,yes,3,3,3
@MattHancock @RishiSunak He blanked you you prick…,3,yes,3,3,3
theresa may is taller then rishi sunak btw,3,yes,3,3,3
@narendramodi @RishiSunak Nobody had imagined that Indian origin would rule the colonial ruler.,3,yes,3,3,3
"Boris Johnson and Liz truss completely trashed Britain while stamping all over the working class.
Now there is Rishi Sunak, the new unelected P.M to continue the work of wrecking Britain and stomping all over the working class but he's a POC so it's more acceptable, right?",4,yes,4,4,4
@NixJPayne @PrincessPKaur @trussliz @RishiSunak “Achewerly” oh please.,4,yes,4,4,4
@Rob_E_Dresser @MattHancock @RishiSunak He gonna play grab arse with Rishi woman 😂,5,yes,5,5,5
Loving the fact that the racist members of the Tory party are more than likely now in such inner turmoil that they are about to implode. Have a wonderful rest of your day 😄. #PrimeMinister #RishiSunak #ToryChaos #Ready4Rishi,5,yes,5,5,5
@RicHolden @Conservatives @RishiSunak 😂😂😂😂Conservatives finished. People are livid! Boris was only answer. I don't want Labour to get in but we must have a GE! WE MUST GET RID OF THE ROT!! You live in your Westminster bubble and have no clue how angry people are. Let the people decide- GE now!!!,1,no,1,1,1
@ShashiTharoor @RishiSunak Sir now will be the best time for Britain to think about that reparations they owe.. 🌝🌝,5,yes,5,5,5
@nadhimzahawi @RishiSunak @Conservatives Except people on dingies,3,yes,3,3,3
"Yeah so it is established,  Rishi sunak is Punjabi khatri caste hindu.",4,yes,4,4,4
@SimonClarkeMP @Conservatives @RishiSunak So why Boris Johnson ? Who was he going to unify Simon?,3,yes,3,3,3
"@JamesCleverly @RishiSunak The man with no soul, conscience, pride or shame.",2,no,2,2,2
"@evansabove4 @andreajenkyns @RishiSunak It’s not a farce, it’s been torn apart by democracy removing donors. Police bill, elections bill, judiciary bill, weakening unions,packing the lords with yes men etc etc. disgraceful side to authoritarianism",3,yes,3,3,3
Congratulations #RishiSunak for becoming the First Indian Origin Prime minister in UK. It's Happy Diwali at 10 Downing Street.,5,yes,5,5,5
"Just heard the funniest comment on the News, “He’s not from a rich background, his Mum was Pharmacist and Dad was GP” . . . #Sunak #RishiSunak",3,yes,3,3,3
"@RhonddaBryant @RishiSunak Bad news Chris, we are a banana republic",2,no,2,2,2
@boris_backing @andreajenkyns @RishiSunak @Conservatives No one cares,2,no,2,2,2
"LONDON : Latest-Update
*Rishi Sunak* looked set to become Britain's next prime minister after his rival Boris Johnson quit the race, admitting that he could no longer unite their party following one of the most turbulent periods in British political history
#uk #RishiSunak",3,yes,3,3,3
"An Indian/Indian origin head of any other state maybe of sentimental value to India, but practically it can be negative to neutral. Their actions towards India will be more scrutinized with a lens of distrust and they will be vary of seen as being biased.#RishiSunak",1,no,1,1,1
"Folks, Rishi Sunak has come to office with 0.0005 % of UK population’s vote! Those who are celebrating his victory have to wait a bit to see his leadership first! Good luck UK!",5,yes,5,5,5
@RuthDavidsonPC @RishiSunak Who's turn is it next week?,3,yes,3,3,3
@QprEver @RishiSunak Johnson channels only the bitterness of the have-nots. Don’t take that for representation. It’s a Tory analogue of the old Thatcher trope that Labour stifle aspiration. What is less aspirational than the pity party of the workers stewing in their own juices? That is all he offers,2,no,2,2,2
"A lot of masks will fall today. A lot of ppl who’ve battled to push their racist views into the depths of consciousness will lose said battles today 😂 
#RishiSunak #PrimeMinister",1,no,1,1,1
@grantshapps @RishiSunak So make things more fair for more people rather than making ordinary people suffer or pay for the greed and incompetence of the wealthy and private enterprise.,1,no,1,1,1
@trussliz @RishiSunak Are you going to give us 115000 quid back seen as you only did the job for 44 days ?,3,yes,3,3,3
@piersmorgan @RishiSunak @piersmorgan are you applying for a job in the cabinet?,3,yes,3,3,3
@trussliz @RishiSunak I m Sorry for you,3,yes,3,3,3
"#RishiSunak Who broke the law whilst in office and got fined and lets not forget ""eat out to help out"" which was a colossal waste of money and spread covid. The guy is a clown. Check his USA green card and tax avoidance. Cut the lifelines to the poorest. Typical tory.",1,no,1,1,1
"@JohnWest_JAWS @RishiSunak Ex Tory ex Labour, these people are pathetic. I don't care who the leader is, I want the right policies. #GeneralElectionsNow",1,no,1,1,1
@trussliz @RishiSunak You literally made a joke of your political system...,4,yes,4,4,4
@BBCWorld Not #RishiSunak  to corrupt the land again &amp; sing bajans 🤧🏃‍♀️🏃‍♀️,3,yes,3,3,3
@RishiSunak we the people of this country demand a GE you should listen to the people of this country and not the ones lining your pockets,3,yes,3,3,3
"Thus, when Rishi Sunak, lost out in the first phase, there were jokes in abundance, most with the clichéd racial tone of a bollywood movie ""thum sala ghulam log .... "". To counter it all, Rishi Sunak had to only do what the Indians do best. Persevere to win!",5,yes,5,5,5
"@AWMurrison @RishiSunak I wonder how many poorer people you'll kill next year with your hair brained schemes. Cancel HS2, stop overseas aid and return all the illegal migrants, only then can you start taking money off the taxpayer.",1,no,1,1,1
People are surprised to learn that #rishisunak is only 3 inches taller than Danny DeVito.,4,yes,4,4,4
@NicolaSturgeon @RishiSunak Whos gony haud wee Jimmy's jaeckt this time when she gets tellt naw yer no getting it,2,no,2,2,2
"@michaelgove @RishiSunak He has more than a mountain of trust he needs to earn before he will have the people on side, luckily he just had to promise a few cabinet positions and favours left and right to get the position",5,yes,5,5,5
"@Jacob_Rees_Mogg @RishiSunak Now is the time for a general election and I will congratulate Sir Keir Starmer once he's elected as PM and the Tory party suffer under a Labour landslide.

Time to reap what you have sown!",4,yes,4,4,4
Well here we go again 🙈 #ToryLeadershipFarce #RishiSunak,4,yes,4,4,4
